epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5693.02,2.19763,1.22431,0.00203,0.71906,0.55852,0.59846,0.29838,2.11239,1.18241,0.00337,0.00121145,0.000403817,0.00121145,0.000403817,0.00121145,0.000403817,0.00121145,0.000403817
31,5877.17,2.19846,1.21245,0.00205,0.71946,0.55227,0.59358,0.2922,2.12255,1.17687,0.00338,0.0012015,0.0004005,0.0012015,0.0004005,0.0012015,0.0004005,0.0012015,0.0004005
32,6064,2.19229,1.21261,0.00205,0.7466,0.56319,0.60483,0.29874,2.12088,1.15237,0.00339,0.00119155,0.000397183,0.00119155,0.000397183,0.00119155,0.000397183,0.00119155,0.000397183
33,6255.21,2.19452,1.21242,0.00204,0.72051,0.55785,0.59517,0.29392,2.1046,1.16302,0.00335,0.0011816,0.000393867,0.0011816,0.000393867,0.0011816,0.000393867,0.0011816,0.000393867
34,6445.23,2.18942,1.21126,0.00203,0.7234,0.55924,0.59929,0.29957,2.10389,1.15153,0.00338,0.00117165,0.00039055,0.00117165,0.00039055,0.00117165,0.00039055,0.00117165,0.00039055
35,6633.9,2.18468,1.19822,0.00203,0.72099,0.56599,0.60046,0.29805,2.11686,1.15911,0.0034,0.0011617,0.000387233,0.0011617,0.000387233,0.0011617,0.000387233,0.0011617,0.000387233
36,6823.5,2.1739,1.18452,0.00203,0.72248,0.55861,0.60063,0.29747,2.11431,1.15829,0.00337,0.00115175,0.000383917,0.00115175,0.000383917,0.00115175,0.000383917,0.00115175,0.000383917
37,7010.99,2.18266,1.18655,0.00201,0.73155,0.56505,0.60209,0.30245,2.10401,1.15773,0.00336,0.0011418,0.0003806,0.0011418,0.0003806,0.0011418,0.0003806,0.0011418,0.0003806
38,7202.49,2.18136,1.18731,0.00201,0.75179,0.56362,0.60951,0.30248,2.09871,1.13509,0.00334,0.00113185,0.000377283,0.00113185,0.000377283,0.00113185,0.000377283,0.00113185,0.000377283
39,7391.15,2.18324,1.17435,0.00199,0.75225,0.56481,0.6126,0.30252,2.09923,1.13907,0.00334,0.0011219,0.000373967,0.0011219,0.000373967,0.0011219,0.000373967,0.0011219,0.000373967
40,7579.5,2.16468,1.17933,0.00199,0.75944,0.57215,0.61699,0.30539,2.10751,1.13625,0.00334,0.00111195,0.00037065,0.00111195,0.00037065,0.00111195,0.00037065,0.00111195,0.00037065
41,7767.66,2.16871,1.16983,0.00199,0.74711,0.56903,0.61345,0.30489,2.09985,1.13498,0.00333,0.001102,0.000367333,0.001102,0.000367333,0.001102,0.000367333,0.001102,0.000367333
42,7954.51,2.16361,1.16599,0.002,0.73406,0.56767,0.61292,0.30705,2.09707,1.12721,0.00331,0.00109205,0.000364017,0.00109205,0.000364017,0.00109205,0.000364017,0.00109205,0.000364017
43,8140.02,2.15968,1.16004,0.00198,0.74447,0.56661,0.6148,0.30551,2.10231,1.12651,0.00335,0.0010821,0.0003607,0.0010821,0.0003607,0.0010821,0.0003607,0.0010821,0.0003607
44,8328,2.1617,1.16565,0.00199,0.71939,0.577,0.60989,0.30301,2.10786,1.12257,0.00336,0.00107215,0.000357383,0.00107215,0.000357383,0.00107215,0.000357383,0.00107215,0.000357383
45,8524.9,2.15654,1.16072,0.002,0.74047,0.57158,0.61326,0.30275,2.10847,1.12376,0.00335,0.0010622,0.000354067,0.0010622,0.000354067,0.0010622,0.000354067,0.0010622,0.000354067
46,8709.81,2.14662,1.14643,0.00198,0.73253,0.57646,0.6174,0.30601,2.10962,1.1137,0.00338,0.00105225,0.00035075,0.00105225,0.00035075,0.00105225,0.00035075,0.00105225,0.00035075
47,8895,2.158,1.15447,0.00198,0.74227,0.57262,0.61427,0.3027,2.10508,1.11683,0.00336,0.0010423,0.000347433,0.0010423,0.000347433,0.0010423,0.000347433,0.0010423,0.000347433
48,9080.27,2.15223,1.14009,0.00198,0.71762,0.58568,0.62071,0.30674,2.11013,1.09227,0.00336,0.00103235,0.000344117,0.00103235,0.000344117,0.00103235,0.000344117,0.00103235,0.000344117
49,9267.45,2.15199,1.13963,0.00197,0.72761,0.57061,0.61583,0.30332,2.10364,1.10541,0.00336,0.0010224,0.0003408,0.0010224,0.0003408,0.0010224,0.0003408,0.0010224,0.0003408
50,9453.78,2.13509,1.13503,0.00197,0.7401,0.57312,0.61525,0.30583,2.10158,1.10887,0.00335,0.00101245,0.000337483,0.00101245,0.000337483,0.00101245,0.000337483,0.00101245,0.000337483
51,9641.96,2.14711,1.13397,0.00196,0.74257,0.56626,0.61413,0.30394,2.10104,1.10337,0.00333,0.0010025,0.000334167,0.0010025,0.000334167,0.0010025,0.000334167,0.0010025,0.000334167
52,9829.6,2.13596,1.13302,0.00195,0.74762,0.57877,0.6261,0.30882,2.09444,1.09673,0.00332,0.00099255,0.00033085,0.00099255,0.00033085,0.00099255,0.00033085,0.00099255,0.00033085
53,10017.7,2.14211,1.13094,0.00194,0.74618,0.5727,0.61645,0.30809,2.10384,1.08806,0.00336,0.0009826,0.000327533,0.0009826,0.000327533,0.0009826,0.000327533,0.0009826,0.000327533
54,10207,2.13745,1.12228,0.00196,0.73039,0.58094,0.62327,0.30894,2.09961,1.08879,0.00336,0.00097265,0.000324217,0.00097265,0.000324217,0.00097265,0.000324217,0.00097265,0.000324217
55,10393.5,2.13733,1.12683,0.00196,0.71896,0.57992,0.62251,0.30954,2.09899,1.09053,0.00339,0.0009627,0.0003209,0.0009627,0.0003209,0.0009627,0.0003209,0.0009627,0.0003209
56,10578.9,2.13043,1.11919,0.00195,0.74239,0.57637,0.62281,0.31025,2.09347,1.08488,0.00335,0.00095275,0.000317583,0.00095275,0.000317583,0.00095275,0.000317583,0.00095275,0.000317583
57,10766.6,2.13221,1.11722,0.00194,0.72694,0.58135,0.6234,0.31008,2.09469,1.09317,0.00334,0.0009428,0.000314267,0.0009428,0.000314267,0.0009428,0.000314267,0.0009428,0.000314267
58,10954.8,2.12075,1.10373,0.00195,0.72567,0.58409,0.62794,0.31156,2.08713,1.08092,0.00331,0.00093285,0.00031095,0.00093285,0.00031095,0.00093285,0.00031095,0.00093285,0.00031095
59,11142.1,2.13134,1.12034,0.00194,0.70817,0.58542,0.61885,0.30899,2.08458,1.08787,0.0033,0.0009229,0.000307633,0.0009229,0.000307633,0.0009229,0.000307633,0.0009229,0.000307633
60,11326.2,2.11788,1.11438,0.00195,0.70885,0.58427,0.62097,0.30997,2.08631,1.0839,0.0033,0.00091295,0.000304317,0.00091295,0.000304317,0.00091295,0.000304317,0.00091295,0.000304317
61,11513.2,2.12936,1.10877,0.00194,0.72605,0.58606,0.62724,0.31204,2.0865,1.07823,0.00329,0.000903,0.000301,0.000903,0.000301,0.000903,0.000301,0.000903,0.000301
62,11700.5,2.12616,1.12074,0.00193,0.74246,0.57974,0.62774,0.31323,2.08654,1.07666,0.00331,0.00089305,0.000297683,0.00089305,0.000297683,0.00089305,0.000297683,0.00089305,0.000297683
63,11886.1,2.11814,1.11026,0.00193,0.75256,0.578,0.63125,0.31467,2.08986,1.07489,0.00331,0.0008831,0.000294367,0.0008831,0.000294367,0.0008831,0.000294367,0.0008831,0.000294367
64,12074,2.12114,1.10431,0.00194,0.72801,0.59013,0.63207,0.31421,2.0923,1.07437,0.00334,0.00087315,0.00029105,0.00087315,0.00029105,0.00087315,0.00029105,0.00087315,0.00029105
65,12263,2.10896,1.0913,0.00193,0.73751,0.58704,0.63327,0.31347,2.09167,1.06278,0.00334,0.0008632,0.000287733,0.0008632,0.000287733,0.0008632,0.000287733,0.0008632,0.000287733
66,12450,2.12319,1.10711,0.00194,0.73817,0.5853,0.63424,0.31367,2.08604,1.06768,0.00331,0.00085325,0.000284417,0.00085325,0.000284417,0.00085325,0.000284417,0.00085325,0.000284417
67,12634.1,2.10717,1.10475,0.00195,0.73125,0.58517,0.63142,0.31357,2.08768,1.06928,0.00334,0.0008433,0.0002811,0.0008433,0.0002811,0.0008433,0.0002811,0.0008433,0.0002811
68,12821.3,2.12291,1.10135,0.00194,0.7227,0.58873,0.63205,0.31387,2.08346,1.06573,0.00333,0.00083335,0.000277783,0.00083335,0.000277783,0.00083335,0.000277783,0.00083335,0.000277783
