epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2909.09,2.82876,2.08628,0.00314,0.47143,0.32694,0.32328,0.13294,2.53823,1.89445,0.00429,0.0027129,0.0009043,0.0027129,0.0009043,0.0027129,0.0009043,0.0027129,0.0009043
31,3002.54,2.80809,2.07649,0.00313,0.46627,0.33399,0.32458,0.13464,2.53592,1.88912,0.00432,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
32,3096.1,2.83204,2.0786,0.00311,0.4789,0.32949,0.32664,0.13439,2.53967,1.88945,0.00429,0.0026931,0.0008977,0.0026931,0.0008977,0.0026931,0.0008977,0.0026931,0.0008977
33,3190.03,2.80537,2.06359,0.00311,0.48425,0.32596,0.32806,0.13638,2.53713,1.87764,0.00429,0.0026832,0.0008944,0.0026832,0.0008944,0.0026832,0.0008944,0.0026832,0.0008944
34,3282.55,2.80857,2.07347,0.00315,0.48226,0.33379,0.33079,0.13334,2.53783,1.88496,0.00427,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
35,3375.88,2.79949,2.05446,0.00309,0.48896,0.32988,0.32742,0.1359,2.54113,1.88109,0.0043,0.0026634,0.0008878,0.0026634,0.0008878,0.0026634,0.0008878,0.0026634,0.0008878
36,3469.62,2.80482,2.07745,0.00313,0.47594,0.33467,0.33111,0.13658,2.55355,1.87997,0.00427,0.0026535,0.0008845,0.0026535,0.0008845,0.0026535,0.0008845,0.0026535,0.0008845
37,3562.81,2.80089,2.05892,0.0031,0.48284,0.33232,0.32967,0.13514,2.54759,1.8781,0.00427,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
38,3656.63,2.78986,2.03638,0.0031,0.49231,0.33379,0.33552,0.13867,2.53816,1.86751,0.00428,0.0026337,0.0008779,0.0026337,0.0008779,0.0026337,0.0008779,0.0026337,0.0008779
39,3750.47,2.79625,2.03303,0.00308,0.49287,0.33213,0.3355,0.13793,2.52872,1.87465,0.00425,0.0026238,0.0008746,0.0026238,0.0008746,0.0026238,0.0008746,0.0026238,0.0008746
40,3844.3,2.79252,2.03251,0.00308,0.49229,0.33172,0.33496,0.13947,2.52185,1.8604,0.00426,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
41,3938.31,2.78429,2.01678,0.00308,0.49232,0.34152,0.34201,0.14141,2.52473,1.84494,0.00429,0.002604,0.000868,0.002604,0.000868,0.002604,0.000868,0.002604,0.000868
42,4032.56,2.77944,2.02631,0.00306,0.49331,0.3424,0.34163,0.14213,2.52833,1.8522,0.00428,0.0025941,0.0008647,0.0025941,0.0008647,0.0025941,0.0008647,0.0025941,0.0008647
43,4125.61,2.7753,2.03457,0.00305,0.50495,0.33457,0.34102,0.14136,2.53136,1.85719,0.00426,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
44,4219.48,2.78757,2.04567,0.00308,0.49384,0.33761,0.34215,0.14136,2.51452,1.86035,0.00422,0.0025743,0.0008581,0.0025743,0.0008581,0.0025743,0.0008581,0.0025743,0.0008581
45,4313.79,2.80103,2.03603,0.00307,0.49754,0.3424,0.34707,0.14297,2.52599,1.8518,0.00423,0.0025644,0.0008548,0.0025644,0.0008548,0.0025644,0.0008548,0.0025644,0.0008548
46,4409.07,2.77246,2.01822,0.00305,0.5045,0.33819,0.34744,0.14436,2.52048,1.85302,0.00422,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
47,4502.28,2.77425,2.02517,0.00306,0.50365,0.33369,0.34567,0.14199,2.52354,1.85754,0.00422,0.0025446,0.0008482,0.0025446,0.0008482,0.0025446,0.0008482,0.0025446,0.0008482
48,4595.3,2.75964,2.00181,0.00305,0.49965,0.3425,0.34445,0.14399,2.52175,1.85188,0.00422,0.0025347,0.0008449,0.0025347,0.0008449,0.0025347,0.0008449,0.0025347,0.0008449
49,4689.94,2.77396,2.02244,0.00303,0.50306,0.34788,0.35178,0.14751,2.50435,1.84543,0.00418,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
50,4784.04,2.74354,1.99262,0.00301,0.51297,0.34308,0.35331,0.14695,2.5216,1.84502,0.00418,0.0025149,0.0008383,0.0025149,0.0008383,0.0025149,0.0008383,0.0025149,0.0008383
51,4878.07,2.76705,2.00873,0.00304,0.50389,0.34439,0.35182,0.14654,2.52046,1.84785,0.00421,0.002505,0.000835,0.002505,0.000835,0.002505,0.000835,0.002505,0.000835
52,4973.21,2.77016,2.01407,0.00305,0.51477,0.34191,0.35153,0.14682,2.51477,1.83721,0.0042,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
53,5067.37,2.7544,2.00931,0.00301,0.50545,0.34758,0.35324,0.14696,2.50925,1.83493,0.00421,0.0024852,0.0008284,0.0024852,0.0008284,0.0024852,0.0008284,0.0024852,0.0008284
54,5159.25,2.75305,2.00373,0.00301,0.52123,0.34338,0.35418,0.14741,2.5076,1.84139,0.00415,0.0024753,0.0008251,0.0024753,0.0008251,0.0024753,0.0008251,0.0024753,0.0008251
55,5249.89,2.75776,1.99313,0.003,0.51624,0.34299,0.35376,0.14679,2.51255,1.8277,0.00416,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
56,5340.41,2.7455,1.96764,0.00298,0.5172,0.34113,0.35573,0.14855,2.51179,1.82792,0.0042,0.0024555,0.0008185,0.0024555,0.0008185,0.0024555,0.0008185,0.0024555,0.0008185
57,5430.95,2.74856,1.99404,0.003,0.52318,0.34306,0.35556,0.14919,2.50708,1.83058,0.00418,0.0024456,0.0008152,0.0024456,0.0008152,0.0024456,0.0008152,0.0024456,0.0008152
58,5520.33,2.74399,1.98969,0.00303,0.52261,0.34657,0.35826,0.15041,2.49915,1.81881,0.00418,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
59,5610.13,2.7462,1.98361,0.00301,0.52282,0.34318,0.35657,0.15001,2.50344,1.81883,0.00417,0.0024258,0.0008086,0.0024258,0.0008086,0.0024258,0.0008086,0.0024258,0.0008086
60,5698.61,2.73142,1.97364,0.00301,0.52652,0.34641,0.35893,0.15022,2.50712,1.81923,0.00416,0.0024159,0.0008053,0.0024159,0.0008053,0.0024159,0.0008053,0.0024159,0.0008053
61,5788.74,2.74963,1.97524,0.00299,0.51335,0.35218,0.35914,0.15096,2.50305,1.81371,0.00416,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
62,5877.96,2.74535,1.97256,0.003,0.51262,0.35306,0.36251,0.15201,2.50056,1.81529,0.00417,0.0023961,0.0007987,0.0023961,0.0007987,0.0023961,0.0007987,0.0023961,0.0007987
63,5968.62,2.74704,1.97736,0.003,0.51413,0.35208,0.36152,0.15108,2.49461,1.82245,0.00416,0.0023862,0.0007954,0.0023862,0.0007954,0.0023862,0.0007954,0.0023862,0.0007954
64,6059.57,2.73681,1.9876,0.00301,0.51138,0.35316,0.36151,0.15111,2.50192,1.81669,0.00417,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
65,6152.77,2.73226,1.97458,0.00297,0.50519,0.35981,0.36285,0.1532,2.50079,1.80859,0.00415,0.0023664,0.0007888,0.0023664,0.0007888,0.0023664,0.0007888,0.0023664,0.0007888
66,6246.22,2.74552,1.98449,0.003,0.5066,0.35639,0.36199,0.15345,2.50529,1.80937,0.00416,0.0023565,0.0007855,0.0023565,0.0007855,0.0023565,0.0007855,0.0023565,0.0007855
67,6340.23,2.73647,1.97279,0.00301,0.52343,0.35157,0.36357,0.15265,2.50813,1.81316,0.00418,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
68,6434.55,2.72902,1.97097,0.00297,0.51407,0.35326,0.36396,0.15334,2.49567,1.81018,0.0042,0.0023367,0.0007789,0.0023367,0.0007789,0.0023367,0.0007789,0.0023367,0.0007789
69,6528.77,2.7506,1.97497,0.00296,0.51992,0.35267,0.36702,0.15487,2.50172,1.8,0.00416,0.0023268,0.0007756,0.0023268,0.0007756,0.0023268,0.0007756,0.0023268,0.0007756
70,6622.08,2.73171,1.97122,0.00297,0.51898,0.35404,0.36652,0.15416,2.49364,1.80541,0.00417,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
71,6716.1,2.7407,1.97477,0.00299,0.53042,0.34764,0.36626,0.15506,2.49012,1.81166,0.00414,0.002307,0.000769,0.002307,0.000769,0.002307,0.000769,0.002307,0.000769
72,6810.1,2.72856,1.97427,0.00298,0.52516,0.34763,0.36423,0.15436,2.48448,1.81016,0.00413,0.0022971,0.0007657,0.0022971,0.0007657,0.0022971,0.0007657,0.0022971,0.0007657
73,6903.89,2.72595,1.96516,0.00295,0.52708,0.35327,0.3681,0.15503,2.48913,1.80649,0.00413,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
74,6998.48,2.72567,1.95812,0.00293,0.53573,0.35502,0.37067,0.15566,2.48746,1.80095,0.00413,0.0022773,0.0007591,0.0022773,0.0007591,0.0022773,0.0007591,0.0022773,0.0007591
75,7094.69,2.72956,1.97005,0.00296,0.53056,0.35337,0.37079,0.15572,2.48795,1.80047,0.00412,0.0022674,0.0007558,0.0022674,0.0007558,0.0022674,0.0007558,0.0022674,0.0007558
76,7188.91,2.72694,1.95507,0.00296,0.53306,0.3528,0.36885,0.15544,2.49561,1.79757,0.00415,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
77,7282.73,2.71229,1.95717,0.00294,0.51892,0.35844,0.36902,0.15636,2.48665,1.79434,0.00413,0.0022476,0.0007492,0.0022476,0.0007492,0.0022476,0.0007492,0.0022476,0.0007492
78,7377.71,2.71571,1.94894,0.00294,0.52915,0.35551,0.37003,0.1567,2.47654,1.79814,0.0041,0.0022377,0.0007459,0.0022377,0.0007459,0.0022377,0.0007459,0.0022377,0.0007459
79,7471.99,2.71684,1.93991,0.00296,0.53346,0.35226,0.36963,0.15767,2.4852,1.79425,0.00412,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
80,7561.24,2.70631,1.94634,0.00292,0.52934,0.35159,0.37128,0.15793,2.47725,1.80377,0.0041,0.0022179,0.0007393,0.0022179,0.0007393,0.0022179,0.0007393,0.0022179,0.0007393
81,7649.41,2.7093,1.951,0.00294,0.53346,0.35805,0.37362,0.15843,2.47413,1.79508,0.00408,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736
82,7738.07,2.70888,1.95088,0.00297,0.52643,0.35876,0.37225,0.15815,2.47838,1.79122,0.0041,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
83,7828.42,2.6894,1.93578,0.0029,0.53699,0.35678,0.37481,0.15931,2.47545,1.78862,0.0041,0.0021882,0.0007294,0.0021882,0.0007294,0.0021882,0.0007294,0.0021882,0.0007294
84,7917.5,2.71437,1.94336,0.00294,0.53471,0.35238,0.37386,0.1585,2.47175,1.79029,0.0041,0.0021783,0.0007261,0.0021783,0.0007261,0.0021783,0.0007261,0.0021783,0.0007261
85,8005.34,2.70592,1.93701,0.00295,0.53226,0.35218,0.37444,0.15925,2.47414,1.79087,0.0041,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
86,8092.88,2.70624,1.93954,0.00296,0.53781,0.35433,0.37465,0.15908,2.47655,1.78537,0.00409,0.0021585,0.0007195,0.0021585,0.0007195,0.0021585,0.0007195,0.0021585,0.0007195
87,8182.18,2.68143,1.92132,0.0029,0.54063,0.3513,0.37475,0.15906,2.47439,1.78313,0.0041,0.0021486,0.0007162,0.0021486,0.0007162,0.0021486,0.0007162,0.0021486,0.0007162
88,8270.37,2.69824,1.94914,0.00295,0.53007,0.35756,0.37556,0.15975,2.472,1.7816,0.0041,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
89,8366.34,2.7083,1.9303,0.00293,0.53278,0.35678,0.37625,0.16072,2.46392,1.78809,0.00408,0.0021288,0.0007096,0.0021288,0.0007096,0.0021288,0.0007096,0.0021288,0.0007096
90,8462.66,2.69882,1.94307,0.00292,0.52635,0.35668,0.37328,0.16037,2.46402,1.78318,0.00408,0.0021189,0.0007063,0.0021189,0.0007063,0.0021189,0.0007063,0.0021189,0.0007063
91,8558.3,2.69683,1.94023,0.00294,0.53235,0.35759,0.37336,0.15971,2.46389,1.7859,0.00409,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
92,8648.28,2.69621,1.94224,0.00294,0.52954,0.35844,0.37394,0.15915,2.46733,1.78507,0.00407,0.0020991,0.0006997,0.0020991,0.0006997,0.0020991,0.0006997,0.0020991,0.0006997
93,8736.77,2.68649,1.91781,0.0029,0.53853,0.35185,0.37313,0.15896,2.46616,1.79168,0.00408,0.0020892,0.0006964,0.0020892,0.0006964,0.0020892,0.0006964,0.0020892,0.0006964
94,8826.34,2.67781,1.92236,0.00293,0.53288,0.35623,0.37375,0.15989,2.46567,1.78738,0.00407,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
